,Score,Summary,Text
10,1,"Ordered July 26; received with pull date of July 13, 2012!","I recognize that the pull/use by dates on products are not ""throw this away now"" dates. However, when 12 packages of baby food are ordered AFTER the ""best by"" date, there is a real problem. I would not take the chance on ordering this product with this kind of stale dating, especially when a twelve pack is likely to last the typical baby several weeks or more.<br /><br />(Before noticing the expired date, we did try a bit of the food on a 10 month ""subject,"" who found the flavor acceptable. However, he eats all kinds of vegetables, without the need for sweetening them with fruit, so there seemed little need to do such ""sugar coating. In addition, the cost--and wasted packaging materials--does not compare well at all compared to his usual diet of home-cooked veggies from the garden and farmers market. They might be practical for travel emergencies, but otherwise, even when ""current,"" would earn no more than two stars.)"
11,1,Packaging quality problem,"""Both"" of Gloria Jean's ""Hazelnut"" and ""Vanilla"" packs of 50 contained only ""49.""  Does Gloria Jean's have a fundamental packaging problem ??"
12,1,"Buy American, this product is from China","There are two mainstream commercial sources of Xylitol - Corn and Hardwood trees such as Birch. Many rumors have circulated on the internet regarding the benefits and or drawbacks of either. Here you can gather the facts.<br /><br />The structure of Xylitol does not differ between corn based and birch based xylitol. However, it is a fact that the vast majority of corn based Xylitol found in North America is imported from China. Almost all imported Chinese Xylitol is derived from corn.<br /><br />Also a fact is that most commercial sources of corn itself are genetically modified. This is not true of birch trees.<br /><br />The process utilized in making birch based Xylitol is envirnmentally green and sustainable, in fact the process often uses caommercial scrap that may otherwise be discarded.<br /><br />So is Birch better than corn? You be the judge, each individual can make up their mind. Prices are almost the same, if the description doesn't say American birch you can assume it's Chinese corn."
13,1,gross,"i don't understand how people can drink this and say it taste like strawberry milk. it has a nasty medicine after taste. (yuck!) i prefer the french vanilla flavor. if you wanna try a strawberry protein shake that actually taste like strawberry milk, try gnc's lean shake strawberries & cream. that's good stuff plus it has more protein than special k's protein shakes."
14,1,"exactly, down the molecule, the same formula as Wal-Mart's Organic baby formula","Buyers beware of this rip off--the Earth's Best infant formula (and Vermont Organic) is produced by exactly the same manufacturer and are the same to the microgram.  Literally THE EXACT SAME STUFF just re-packaged and marked up 40-60%, depending upon where you are buying it.  Go with the Wal Mart Organic brand if you want this formula, because you're throwing your money away otherwise.  I was glad I'd only bought one can of the Earth's Best before I realized this!"
15,1,caramel,"I love caramel and was excited when this arrived. But I AM SO DISAPPOINTED. Hardly any flavor at all, of coffee or caramel"
16,1,Stale,"I love this product!  I use it in granola which I make to avoid gluten, and as an unsweetened natural snack.  I was buying it the stores and they were running out a lot so then I couldn't get it for a while.  So I thought buying a case from Amazon was a great idea.  Unfortunately, when it got here it was very stale and I didn't eat it.  Amazon gave me my money back but I decided not to replace it.  I didn't eat the rest, I threw out the whole case.  Amazon said they were working with the manufacturer to eliminate the problem.  If you use a lot of it, give it a try.  Hopefully they got the problem sorted out and your case will be good.  This happened several months ago, just reviewing it now."
17,1,HORRIBLE,"I just wasted money on flavorless air.  Actually, they were disgusting and flavorless.  We tried all flavors and none were better than the last.  Don't waste your money, go buy some apples or something.  Yuck.  Wish I could get my money back."
18,1,Hot dishwater...?,"Never having consumed dishwater I can only imagine that Oregon Chai is what it might taste like.  Having had superb chai at my local Indian restaurants, I assumed (wrongly) that I wouldn't be able to recreate the exquisite experience that is an awesome cup of chai.  I found my exquisite cup of chai by chance ... literally picking a brand at random (Third Street Chai -- -- beyond awesome).  Then I tried Tazo Chai -- -- very average.  Then I tried Oregon Chai... this is the weakest, most tasteless chai I've consumed thus far.  It literally almost tastes like nothing.  I can barely detect the spices that are common in chai nor can I even taste the black tea!  I'm surprised at the 5 star reviews for this product.  If the 5 star reviewers were bowled over by something this tasteless, Third Street Chai would rock their socks and send them into the stratosphere.  Try Third Street, folks... way better than Oregon Chai."
19,1,Raccoon don't care,"I wasted the whole bottle of ""Critter ridder"" on a small lawn, which was overturned each night by a raccoon. I tried spraing on grass, then on the ground under the grass and bottom side of sod (that's where raccoon finds grubs), but it didn't care at all. Aparently, ""Critter ridder"" simply made his lunch spicy - that's all. It keeps coming back each night."
20,1,Made in China?!?!,Bought these at my local pet store not even thinking to look at where they're made (because everything in that place is usually super high quality stuff).  Came here to see what others think and that's when I saw the other reviews about being made in China - CAN NOT believe I bought these.  My dog has had one and now they're in the trash.  DO NOT give these to your dog!!!  0 stars
21,1,poor quality,"I drink tea everyday and was excited to find such a great deal on this tea.  Regrettably, the only good part about this tea was the price.  The tea tastes somewhat bitter and earthy and not in a good way and is weak also.  I will not buy this again and will stick to PG Tips or Yorkshire Gold."
22,1,Bitter after taste,"I am a hard core coffee lover, but have been having trouble with the caffeine so have decided to to try and find a good decaf.  I thought this might be the one but I was sorely let down.  The coffee smells pretty good but once brewed it has a very bitter slightly acidic after taste.  I even tried mixing it half and half with my other coffee but could STILL taste the bitterness.  Needless to say I have it sitting on my shelf and neither my sister nor I will be drinking it."
23,1,K-Cup foil not sealed and hot coffee spurts out all over,"We purchased two 24-count packages of Tully's House Decaf. Obviously something went wrong in manufacturing of these K-Cups.  After we began the brew cycle, very hot coffee came out over the top of the K-Cup and the compartment in many directions and only a portion of it went into our mug below.  Thinking it was only a problem with that one, we tried another.  When it happened again, we investigated more closely.  The foil seal over the top of the K-Cup is not complete.  Very hot water under pressure inside the K-Cup was forced up and out, along with coffee grounds, and sprayed quite a distance from the machine. Our Keurig is in the bedroom - what a mess!"
24,1,"Bags are the small 1 oz bags, not 'Big Grab"" bags!","The bags in this variety pack are not 'Big Grab"" bags as stated in the title. The value of this product is far less than it would have been if these were actually the much larger Big Grab bags. These small 1 oz. bags can be purchased for 20-25 cents each at various warehouse clubs. No bargain here."
25,1,Stale Granola Bars,"The Granola bars, with about a month left before being out of date, were stale, petrified and inedible.  I returned the product to the original seller.  Amazon charged double what the original merchant charged for the product.<br />All in all, a very disappointing experience.  I have bought from Amazon many times in the past and was always pleased with the merchandise.  This was the first ""FAIL"" for me."
26,1,Throwing away.,"I have purchased many varieties of protein cocoa's; however, this was the worst one I've tried yet. It had a funny flavor to it, and despite many attempts, I could not get the clumps to dissolve. I will be throwing the rest away."
27,1,Tastes like chemicals,"First, I would like to say that I purchased this product from the STORE, not from this seller. Also that there was not a problem with the expiration date of the coffee.<br /><br />I am not a picky coffee drinker. I like all kinds, but I prefer stronger brews. I like flavored coffee as well, but only when it tastes like what it is suppose to. I don't think anyone wants to drink chemical flavored coffee.<br /><br /> When I bought this product I thought it was going to be great, I am a consumer of folgers and have tried different flavors of theirs, however this was the first k-cup brand I bought from them and was VERY disappointed.  The coffee is definitely flavored and does taste like caramel, but after each sip there is an after taste of some sort of chemical.  The after taste is so strong and disgusting that you can neither enjoy the flavor of the coffee nor the caramel. For the first time was unable to finish my cup of coffee. To drink the entire cup would have been the equivalent of torturing myself.<br /><br />I would not recommend anyone buy this product."
28,1,Nutritious and... Ropey,"As a warning - I am not a vegan, I do not hug trees (though I do love them), and I really am not into the whole organic movement (though I have no problem with it).... If my stance on those three ""issues"" was different, I might love this product... as it is, I found it to be somewhat disgusting.<br /><br />I typically drink Meijer branded chocolate shake mix (Meijer is a western US mega-store & the shake mix is a knock-off of what slimfast puts in a can).  I hoped that this mix would taste at least somewhat (even a little bit) like the meijer brand.... The ways that I described this taste to my wife each morning... well, they aren't good... I'm listing a few:<br /><br />- It tasted like rope<br />- It tasted like licking a wet horses bridle<br />- It tasted like sucking the water out of a wet hemp bracelet<br />- It tasted like someone had mixed dirt in with my unsweetened baker's cocoa<br />- It tasted like chewing on tree bark<br /><br />In all seriousness, the ""rope"" & ""wet hemp bracelet"" analogies are the closest... I used to wear a lot of hemp (before doing so was part of the ""organic"" eating movement I guess?)... and I remember chewing on the necklace/bracelets.  This product tastes just like that.<br /><br />Another note - I was not impressed by the blending of this stuff.  Most shake mixes actually dissolve in liquid; this stuff just sorta clumped into the liquid.<br /><br />On the other hand, I ate (almost) all of it... and it was much more palatable once I mixed it in with the meijer shake mix (2 parts meijer mix, 1 part this stuff).  The fiber content is really high (always a plus).. and it was fairly reasonable.<br /><br />So, if you are into the earth loving hipster movement or are just a standard faire hippy - this stuff might be for you.  For Joe Six-pack (even the liberal type), this product should probably be avoided."
29,1,Where Was This Manufactured/Produced>,"When this product arrived, I noticed that it said on the label that it is ""PACKED BY"" Honeytreehoney, but there is no information as to where it is produced. I emailed Honeytreehoney, asking them to supply that information but got no response. If you care where your food comes from (US, China, Etc.),you may not want to buy this. I won't reorder it. And I'm not sure I'll use it, either.<br /><br />The one star rating is simply an indication of my dissatisfaction for the information gap, not the taste/quality of the molasses."
30,1,what a disappointment!,"we bought our first eagerly awaited box of Zitner butter creams today [locally, not from AmaZON) Absolutely awful, no butter flavor whatsoever anymore.  Cost saving attempt by new owner?  Buyer Beware!"
31,1,Not Ground Coffee,I purchased this product thinking it was ground coffee.  Not so.  If you are looking for ground...look elsewhere.  This is instant coffee and not great at that.
32,1,Dogs didn't like,I have 4 standard dachsunds and 1 german shepherd and they hated these treats. I gave them away to my local vet.
33,1,Didn't even get to enjoy.... contains Carageenan,"While I can't truly speak regarding the taste as I wasn't even able to try the product. I have an allergy to Carageenan (Seaweed) and even though I took special care to determine the ingredient wasn't in there (even checked outside of Amazon)... it is unfortunately in there. So, now I have a case of this stuff that will get donated as I can't consume it. I really wish there was a way to determine this prior to purchase as this is the second time this has happened. =("
34,1,"Beware... It has ""hint of heat from chiles"" in it.","It is not fair to say I give this product one star as I haven't even tried it, but the label states that it has ""hint of heat from chiles"" in it. I can not eat anything with chile in it and would not have ordered it if it had been indicated on the web site. If you like a bit of heat you may love this and give it a 5star rating, just be aware."
35,1,leaks leaks leaks,no matter what brand of k-cup i used them with they leaked !! i even got the washers to put on them thats supose to stop leaks and that made them leak more out the sides of the rim ...
36,1,Tasteless!,"I used to get ""Juniper Ridge Juniper Ridge White Sage & Wild Mint Tea"" and LOVE it with a hint of raw honey and I wanted to give this tea a try. Very disappointed- the tea was tasteless and not what i had expected."
37,1,Not even close...,"This was a waste of money, the item was late, package was torn up,and the tea was terrible, not a good product in my opinion and bad handling."
38,1,stale & lacking in flavor,"I assumed that bulk purchases of this type would be fresh, drop shipped as a rule, but I have serious doubts now.  I have had the fresh gum, this isn't even close.  You could wear your teeth out chewing this.<br /><br />Unfortunately, one of the few bad products, as received.  As usual, Amazon does an incredible job of processing, expeding & getting shipped-every time!"
39,1,Product Specifications,Product specifications list the country of origin as United States of America. Since when does Jamaican coffee grow in the USA?
40,1,Mountain Blend Coffee 4 Cup Filter Pack,"Coffee is very weak,I have to use 3 packs to make 4 cups of coffee."
41,1,DANGEROUS!,"As I was removing mayo from the jar with a tablespoon, I noticed a large hole in th bottom of the jar! I took out the shards of glass: they are no thicker than the glass one would find in a standard house lightbulb!! BEWARE! I have emailed the company and await their reply. Needless to say, I threw out my bowl of potato salad-in-the-making!"
42,1,Haven't received yet,I would like to be able to review this product but I still have not received it and it's been over a month.
43,1,Not happy at all,"Been taking Stevia in the Raw for over 3 months believing it would be healthier for me considering diabetes runs in my family.  Well foolish me got sucker by Stevia in the Raw.  In small print the word DEXTROSE.  What is Dextrose?  Is a HIGH Glycemic Index, fast absorbing carbohydrate derived from corn.  Percentage of Corn - Genetically Modified. And how about the HIGH GLYCEMIC INDEX, not good for diabetics.  Definately not purchasing this again.  Also from what've read Truvia is no better - alcohol sugars.  Guess back to the drawing board.  Hopefully I can find a product that only has STEVIA and no other ingredrients."
44,1,Gouging,Well it seems Prince of Peace has once again raised their price. A box of white tea and pu erh tea is now nearly THIRTY dollars to have shipped to you. Five dollars shipping per box plus the insanely raised price of 16.99. Apparently Dr Oz has created a lot of suckers who will pay this ridiculous price but I won't be. So much for good advertising of a product.
45,1,NOT good food,"Long time online shopper, but first time ever writing a review. We have a 7 month old Great Dane pup. When we got her at 12 weeks, the breeder had her eating Holistic Select Giant breed puppy food, which was good for awhile. Then her stool became very loose. So upon reading other reviews we switched to Eagle Pack Giant breed puppy food. Her stool was still a little loose, but we thought that it was possibly the switch of the foods so we wanted to give it a chance. Well after about 5-30lb. bags of eagle pack, her stool was still very loose and she was eating her and our other dogs poop. (very gross to be kissed by that....YUCK) A friend told us that she was doing that because she was missing a vitamin or supplement in her diet. She was also consuming a tremendous amount of food as well as always voraciously hungry. We started researching what to do then all of the sudden she was having uncontrollable diarrhea, not good for a 100lb. puppy. We did not have time for anymore research we had to do something now!<br /><br />We ended up at a local store and discovered Chicken Soup for the Puppy Lover's Soul Large Breed Puppy Dry Dog Food. We decided to try a a 18lb bag, even though the protein levels were a couple percentage points higher than we had been told to give a Great Dane. But the list of ingredients was wonderful when compared with a lot of other top brands, I am no expert but just reading the long list of ingredients it seemed that they had more all natural ingredients, as opposed to the supplements that the others were putting in their food.<br /><br />We got it home and immediately made a complete switch from the Eagle Pack food she was on. We did not do the customary blending of foods for a week or so to introduce the new food and ween her off the old. We did not have time as her tummy was so upset, we also did not want anymore of the Eagle Pack in her system. She loved the taste and gobbled it up. Within about 24 hours her poops started to firm up a bit. This got progressively better as the week went by, but still a little soft as to make picking up difficult especially on grass. We added In Clover Fresh Digest Daily Intestinal Aid for Dogs to her food and presto she pretty much has a firm stool every time, She is also eating noticeably less food (YAY!$$$) which she seams to be getting better nourishment from it. She is also no longer eating poop (YAY!!!). We attribute that the little bit extra protein in this food is what she was missing from her diet. We are going to ween her off the In Clover Fresh Digest Daily Intestinal Aid for Dogs and see how she does without the supplement now that she is totally use to her new food.<br /><br />To sum it up:<br />1. Good quality ingredients<br />2. Less supplements than some other brands<br />3. Slightly higher protein than we would like, but it keeps her from eating poop so that is ok<br />4. Affordable<br />5. Retains more of the food so she eats less, which saves a fair amount of money.<br />6. Her coat is super shiny and healthy<br /><br />P.S. We also switched our senior citizen American Bulldog to the Eagle Pack Adult food, and she got a very loose stool as well, and she has never been loose a day in her life. We now have her on Chicken Soup for the Dog Lover's Soul Large Breed Dry Dog Food, and she is great and very healthy as well."
46,1,do not buy this product,"This item is literally $10 more than what you can buy it for at a store.  They sell it at Target for $3 or $4/box.  I mistakenly thought I was buying a ""bulk"" item because it was so expensive.  My fault.  But, when I asked about returning the product they said, sorry no, we believe this is a good price for this item, but if you would like we will offer you 10% off on a future purchase!  Hmm..., I don't think so.  Buyer, beware with this company, make sure you do your research first.  I did not and I payed the price."
47,1,good value,I am thoroughly enjoying my ground flax. It is very flavorful and blends easily into smoothies and yogurt. I have added some to cereal and hot oatmeal as well. The price is great. A real bargain. Highly recommended.
48,1,Tasteless,These beans have absolutely no taste to them. Be prepared to add butter/salt while cooking them (and completely ruining the health factor in the process) if you plan to enjoy them.
49,1,Where is the blue cheese??,"These are nothing more than barbecue potato chips.  Covered with a dusting of chili powder, salt, and sugar, I would not buy these again. I really love blue cheese, but I can't taste it in these chips. I should never buy anything I haven't tried, and now I'm stuck with all these bags of chips that I don't like. I have tried the salt and cracked pepper flavor and wish I had bought them instead."
50,2,"GINGER GROUND FRESHLY PACKED IN LARGE JARS, spices, herbs, seasonings",The ginger is not strong enough - have to put a spoonful to get the taste.Mccormick ginger is so  much better -just a pinch is enough.
51,2,Strange  taste,The wine has a horrible chemical rubbery after-taste. Presumably a result of the process which extracts the alcohol.
52,2,Not the best thing Kraft makes,"I can't really recommend this stuff at all.  The salad dressing is NOT included and they've changed the taste so much from their original, that you cannot even recognize it anymore.  I won't buy it anymore - I used to buy it almost weekly.  Come on Kraft, bring back the original!"
53,2,All I taste is nougat and peanuts.,"The taste of nougat and peanuts is overwhelming in this bar.  If you would like a ""healthier"" version of a Baby Ruth candy bar, this is it."
54,2,Eh.,"I gotta say I love the idea behind this product.<br /><br />That being said, this flavor was very disappointing.  I'd have preferred to try the unflavored plain one out first, but this was the only flavor they had.<br /><br />I'll start with the pros.<br /><br />1. It's cheap.<br />2. It's a better option than most packaged drinks.<br />3. There is a minimum of crap in it, as far as I can tell.<br />4. It has a low carbon footprint relative to other coconut waters.<br /><br />Now for the cons.<br /><br />1. It does not taste anything remotely like coconut water.  I would say it maybe has a slight bubble gum flavor to it, but not really.<br />2. Neon/florescent pink color.  It looks like I imagine a pink lemonade made by Crystal Lite to be.  Lose the color!<br />3. Not refreshing at all.<br />4. The zippy top on this package is a bit of a PITA.<br /><br />I would like to try the plain one before writing this product off entirely.  I really like what Big Tree Farms does, but until they make this a better product, I recommend staying away from this one."
55,2,Far from Fiji,"I purchased this product in the hopes of giving Fiji a run for it's money. I, however, was truly dissapointed. While not bad, I found this water to be more on par with all other bottled water. That is to say several steps below Fiji. And considering it costs more than Fiji, I must recommend sticking with the best... Fiji."
56,2,Did not work...for me.,"Kind of had the opposite effect on me.  A friend recommended I try 5 hour energy and use it to replace my morning cup of coffee.  If anything it actually made me tired and groggy.  I guess it has a different influence on each individual.  I would suggest trying one first, before buying in bulk."
57,2,Not really gummy or fruity,"These are coated in sugar which make them less gummy and kind of dry. They are very firm and chewy more than gummy. They have a lot of citric acid which makes them tart but there is no discernible fruit flavor in any of them. If you ate each kind with your eyes closed, you would not be able to tell one ""fruit"" from the other. Very very disappointed. Will be giving 11 bags away and not ordering any Haribo again."
58,2,It WAS my favorite...,"I have been ordering Big Train Vanilla and Spiced Chai for just over 2 years on Amazon's subscription.  It was so good and it rivaled the chai at my favorite coffee house (NOT Char-bucks).  I always LOVED it, and enjoyed a cup each morning as I braced for the coming day.  I did, that is, up until several months ago. They seem to have changed the recipe because it just isn't the same.<br /><br />Now I get a numbing sensation on my tongue when I drink it.  If it sits for too long and sediment settles my reaction is really bad...I won't go into details.  The taste is hard to describe, but it is kind of a detergent taste that burns.  I even thought that I had detergent stuck in my mugs from the dishwasher, so I was very diligent in cleaning them before I made a cup.  It didn't help.<br /><br />The flavor was stronger with the spiced chai, so I started getting only vanilla.  Unfortunately, I find the same unpleasant flavor with vanilla as well.<br /><br />I have never used as much mix as the directions say because there was too much that settled out.  Since this started happening, I have reduced the amount I use even more.  That horrible flavor is still there, so I know it isn't related to the way it's mixed.<br /><br />I am very disappointed because, like I said, it was my favorite beverage in the morning.  After trying so many different things over the last 4 months, I have finally selected another brand to try out.  I hope it is as good as this one used to be."
59,2,Disappointing Mess,"Sorry to dash anybody's hopes here. I know the reviews are pretty glowing, but that does not match my experience. This litter is not good. The chunks are huge, which not only seemed to make it hard for my cats to use, but looked disturbingly like granola when tracked all over the room. And track it does... like crazy. Which defeated my reason for buying it. Thankfully, on a tip, I switched to <a href=""http://www.amazon.com/gp/product/B005D4NXI4"">Dr. Elsey's Precious Cat Respiratory Relief Litter - 20 lb</a> and I highly recommend it. It clumps well, tracks the least of the six or seven litters I've tried, and as an added bonus is completely dust-free (since it's made for cats with respiratory problems). Hope that helps. I know what a frustrating process this search can be and am very glad to be finally done with it."
60,2,"""Arazona Vanilla"" is  ""Halaleveryday""",The Mexican beans that I ordered from Arizona Vanilla Co. came from a company called Halal Everyday. Halal means lawful or clean according to Islamic law. I am not Muslim and feel that failing to disclose the fact that food/food products are prepared according to religious laws that I do not accept is a fraud. Arizona should state that their products are Halal for the benefit of all their customers Muslim and non-Muslim.
61,2,BLand,"This did not really have a memerable flavor, it was  bland and I would not purchase it again..<br />PRefer the Special K cereals top this/"
62,2,harsh taste,"I found this mix to have a strong bean taste to it.  I tried it a couple of times.  First just the way the mix says, which I did not like the taste at all nor did my hubby.  The 2nd time I added some vanilla to the mix in which did give it a bit of a better taste and was something my hubby said he would eat.  For me over all just to much bean of a flavor and I will never by it again."
63,2,Definately not a Medium Roast Coffee! Too bold and bitter!,"Green Mountain keeps changing the wording on their Amazon description and box for this coffee, and this led me to mistakenly buy it for the third time.  I expect products labeled with the Newman's Own label to be good (or at least worth trying).  They advertise it as being a medium roast, and it's not.  When you look at the package it says 'regular' 'medium roast' and 'extra bold'.  How can it be all three?  I like my coffee strong, but not burned (think regular Starbucks) or bitter, and this coffee is both.  I love other bold brands like Deidrich's French roast, but really don't like this coffee. If you are a fan of regular Starbucks you'll like this stuff."
64,2,Thought it was a good idea,"I am giving these two stars because they did taste sorta good at first.  But like the other reviewer said they do smell funny and they left a bad taste in my mouth.  And they are very salty.  I only cooked them for 90 seconds, the bag was still expanding when I stopped it but they smelled burnt when they were done (they said to cook until it stopped expanding but thank goodness I didn't do that).  Nice idea but I don't think I will buy these again."
65,2,A Bland Type of Mush.,"Our son (one year old) now eats solid foods. What should we give him? Well, the doctor says he can have anything we eat, as long as he can handle it. OK. When we eat, he eats some of our stuff. He loves going to the neighborhood frozen yogurt shop, that's for sure. He enjoys refried beans in many Mexican places. He loved my split-pea soup with ham. Apple sauce is one of his favorite foods. When we go to the In 'n' Out Burger, he loves the french fries and parts of the burger, and I hesitate even to mention the chocolate shakes. Yum!<br /><br />In addition, my wife has picked up a variety of more traditional baby foods and many of those have been made by Gerber under the Graduates heading. This afternoon, he dined on one of the Graduates lil' entrees, specifically the Pasta Stars in Meat Sauce. This particular dining experience was an almost total failure. He ingested a couple spoons of the pasta sauce and then refused to eat any more. I gave him a few if the green beans. He took them in, a negative experience was recorded on his face and they came right back out. Hmmmmm. I wondered what the problem was. So, I took a spoon and ate the pasta sauce. It was bland and way overcooked but it didn't taste all that bad. I also ate the beans. They were severely overcooked. Both parts of the entree were cooked to the point where they resembled some type of mush. Well, after dining on french fries and hamburgers, no wonder he winces at these entrees. He needn't worry any more. He won't be getting any further Gerber's lil' entrees. My wife also noted that they were packaged in a #7 plastic container and she said she'd serve them no longer. Not all is bad about the Graduates items, however, our son loves the Crunchies and Wagon wheels.<br /><br />Gary Peterson"
66,2,Product itself sucked,"Received the package fast and in great condition. The product itself however is sitting in front of me on a desk as a nice reminder of the $10+ I blew on a spray my cat dislikes so much that he no longer plays with the catnip filled banana toy he enjoyed just 30 minutes before I put this on it.<br />I really wanted this to work I had planned on spraying it on my sons pants as he walked around the house cuz frankly it would have been hilarious, but ohwell. :("
67,2,Too Much of a Good Thing,"It's a challenge to review food, since so much of it is a matter of taste.  Although I think some people will like this granola a lot, it wasn't for me.<br /><br />This is a high-quality granola, flavored with cocoa and coconut, with chunks of dark chocolate and freeze dried strawberries and berries.  The texture is excellent, and contrasts well with milk or yogurt.<br /><br />Unfortunately, I thought there was way too much chocolate.  The dominant flavor is cocoa, followed by the oats, then the chunks of chocolate.  The berries are pretty sparse, and I couldn't detect the coconut.  As I said, it might be right for some people, but I found the cocoa aftertaste to be offputting and am not a fan."
68,2,Decent at best,"This Jerky is close, but not quite as good as good as other pre-packaged bags you can get at the gas station.  It's tender and substantial, so points there.  The flavor though is mediocre at best; poor would be a fair description.<br /><br />Also, if you open the bag it will grow mold in a few days.  Maybe this is a problem with other brands of jerky too.  I wouldn't know because this is the first time I have opened a bag and not eaten it relatively quickly (see above's flavor comments).<br /><br />All in all, this isn't very good jerky."
69,2,Not Fresh - Watch out for some of amazon food lots,"Sun chips are good, but now many other healthy snacks are out and they have not improved this product. This was a large quantity but the expiration was in just 60 days and the box came smashed ?? I Love amazon but some of the food buys you got to take your chances that this is not first quality stuff."
70,2,A Bitter Pill,"I have to say that I really wanted to like these muffins, but I could not.  They have a really bitter after taste.  Whether this is attributable to the gluten free nature of the product, I do not know.  The Hodgson Mill Blueberry Muffin Mix is a far better choice.  On a positive note, they do raise very nicely, but it is unfortunate that I find them barely edible and have five more boxes of the mix left."
71,2,Not as good as the Dairy Free Shells and Chreese,"Wow.  What a disappointment.  My son and I loved the Dairy Free Shells and Chreese, so I had high hopes for this alfredo sauce packet.  I thought it would be nice for a more grown up meal than the kid's mac version.  The first turn off (and again, totally different than the shells packet) was the aweful color. I've been a vegetarian for 25 years and a vegan for most of that, so I have a pretty high tolerance for these things.  The color was a very unappetizing greyish green, like sliced avocado that's been left out too long.  The smell and texture weren't very appealing either.  My husband will eat anything, he's a human garbage disposal, so he had no trouble with it.  But I doctored it up with some sauteed mushrooms, olive oil and a little almond milk for creamyness and it was a passable sauce on top of pasta.  But I was looking for a no fuss packet and ended up having to get creative and work with it.  I spared my son from having to eat it and opened a jar of marinara sauce for him.  I guess I'll use the rest of the packets as a thickening ingredient in sauces because they certainly aren't edible acording to the package instructions."
